epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
1,787.6740112304688,24.27648162841797,739.2193603515625,23.671588897705078
2,751.5175170898438,23.541940689086914,609.277587890625,20.90064811706543
3,551.47998046875,19.528291702270508,239.56466674804688,12.304311752319336
4,265.3096008300781,13.531115531921387,333.8498229980469,15.588047981262207
5,261.6430969238281,13.628714561462402,182.73251342773438,11.336790084838867
6,217.89476013183594,12.451146125793457,207.78164672851562,11.954894065856934
7,227.67054748535156,12.678064346313477,173.18948364257812,11.431164741516113
8,193.53453063964844,11.857917785644531,187.78807067871094,11.85647964477539
9,203.4345245361328,12.172057151794434,171.1431121826172,11.422426223754883
10,187.55926513671875,11.763538360595703,172.08218383789062,11.066845893859863
