epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
1,311.1847839355469,14.535585403442383,223.97500610351562,12.841876983642578
2,210.2923583984375,12.402106285095215,211.08584594726562,12.708084106445312
3,211.81954956054688,12.43519115447998,211.52481079101562,12.712897300720215
4,207.71624755859375,12.271829605102539,212.35545349121094,12.773545265197754
5,210.0696563720703,12.381861686706543,213.49545288085938,12.766008377075195
6,207.33895874023438,12.330866813659668,211.7256317138672,12.763945579528809
7,208.71881103515625,12.344127655029297,214.14793395996094,12.714670181274414
8,207.90280151367188,12.319172859191895,211.13841247558594,12.68241024017334
9,209.38365173339844,12.341552734375,215.54238891601562,12.726223945617676
10,208.88467407226562,12.3359375,214.19923400878906,12.793593406677246
11,209.664794921875,12.345636367797852,209.96551513671875,12.681910514831543
12,205.80645751953125,12.252681732177734,210.80995178222656,12.681872367858887
13,206.47726440429688,12.253081321716309,205.5163116455078,12.530716896057129
14,204.1802978515625,12.096609115600586,208.29054260253906,12.14934253692627
15,184.63348388671875,11.241183280944824,175.23324584960938,10.787994384765625
16,150.53689575195312,9.61161994934082,117.86418151855469,8.047724723815918
17,123.6458740234375,8.355025291442871,106.9453353881836,7.806798458099365
18,106.60406494140625,7.502857685089111,88.38812255859375,6.838274002075195
19,84.28213500976562,6.291311264038086,69.2328109741211,5.772457122802734
20,66.2200927734375,5.344504356384277,54.492820739746094,4.8871588706970215
21,55.728519439697266,4.73669958114624,52.87451171875,5.519259452819824
22,51.726844787597656,4.711487293243408,39.31441879272461,3.880856513977051
23,40.79615020751953,3.923809289932251,31.40314483642578,3.832364797592163
24,35.17981719970703,3.606802225112915,24.99553871154785,3.141043186187744
25,31.934677124023438,3.433554172515869,21.84052276611328,2.89726185798645
26,28.448062896728516,3.1805214881896973,21.747392654418945,3.072133779525757
27,25.763872146606445,3.0271480083465576,18.798688888549805,2.7511332035064697
28,25.104745864868164,3.0093111991882324,16.888446807861328,2.6150338649749756
29,22.280698776245117,2.7943832874298096,15.097784996032715,2.4565675258636475
30,19.94841957092285,2.6503090858459473,16.559396743774414,2.930821180343628
31,18.761024475097656,2.5858118534088135,15.416893005371094,2.67793869972229
32,17.163040161132812,2.4932355880737305,12.7529878616333,2.4009923934936523
33,16.174877166748047,2.421079635620117,11.626965522766113,2.1828551292419434
34,14.800610542297363,2.3071694374084473,10.690396308898926,2.1052370071411133
35,13.904994010925293,2.27679181098938,10.816191673278809,2.1556763648986816
36,13.270423889160156,2.215472459793091,11.235756874084473,2.2264344692230225
37,12.718503952026367,2.232919692993164,10.635320663452148,2.2527289390563965
38,11.557217597961426,2.0965447425842285,9.950909614562988,2.121607780456543
39,11.38886547088623,2.1333365440368652,9.15165901184082,2.0540010929107666
